SimTime,tb_top.ch_out,tb_top.adc_out[5:0]
0.404,0.24583027715030942,26
0.405,0.24848439919458409,26
0.406,0.25084323914598106,26
0.407,0.2530486467262697,26
0.408,0.25520146816354677,26
0.409,0.25736636524222462,26
0.41,0.25957662099184081,26
0.411,0.26183885168461263,26
0.412,0.26413755588906868,26
0.413,0.26643944231816719,26
0.414,0.26869748893146617,26
0.415,0.27085469604495799,26
0.416,0.27284750593800378,26
0.417,0.27460887051860383,26
0.418,0.27607095693440314,26
0.419,0.27716748853852607,26
0.42,0.27783572529887512,26
0.421,0.27801809355850138,26
0.422,0.27766348001204016,26
0.423,0.27672820887326716,26
0.424,0.27517672449913178,26
0.425,0.27298200424490848,26
0.426,0.27012572810135438,26
0.427,0.26659823276319905,26
0.428,0.26239827825960849,26
0.429,0.25753265520585855,26
0.43,0.25201566017789329,26
0.431,0.24586846573499271,26
0.432,0.23911841028718406,26
0.433,0.23179823138834899,26
0.434,0.22394526419566632,26
0.435,0.21560062483012885,26
0.436,0.20680839625637026,26
0.437,0.19761483212339379,26
0.438,0.18806759181655286,26
0.439,0.17821501780574017,26
0.44,0.16810546427038359,26
0.441,0.15778668396849954,26
0.442,0.14730527841953059,26
0.443,0.13670621470883598,26
0.444,0.12603241061061418,26
0.445,0.1153243882763671,26
0.446,0.10461999545431466,26
0.447,0.093954192094231892,26
0.448,0.083358899251473439,26
0.449,0.072862906429975782,26
0.45,0.062491832890766562,36
0.451,0.052268137991812971,36
0.452,0.042211175307018595,36
0.453,0.0323372850855949,36
0.454,0.022659919545653141,36
0.455,0.013189795534788287,36
0.456,0.0039350692224047329,36
0.457,-0.0050984722997660381,36
0.458,-0.013907207354256948,36
0.459,-0.022489468464850906,36
0.46,-0.030845327733703493,36
0.461,-0.038976382544787649,36
0.462,-0.046885544906970743,36
0.463,-0.054576837317611454,36
0.464,-0.062055197594379219,36
0.465,-0.06932629469681735,36
0.466,-0.076396357146715721,36
0.467,-0.083272015263317942,36
0.468,-0.08996015806043528,36
0.469,-0.096467805311371974,36
0.47,-0.10280199497695439,36
0.471,-0.10896968591380116,36
0.472,-0.11497767553538141,36
0.473,-0.12083253188776114,36
0.474,-0.12654053942497528,36
0.475,-0.13210765762485394,36
0.476,-0.13753949147356856,36
0.477,-0.14284127276443404,36
0.478,-0.14801785110156662,36
0.479,-0.15307369346956859,36
0.48,-0.15801289122401865,36
0.481,-0.16283917337160558,36
0.482,-0.16755592504061265,36
0.483,-0.17216621008949487,36
0.484,-0.17667279686088863,36
0.485,-0.1810781861580405,36
0.486,-0.18538464059793686,36
0.487,-0.18959421457811243,36
0.488,-0.1937087841801321,36
0.489,-0.19773007642018042,36
0.49,-0.20165969734436467,36
0.491,-0.20549915855174608,36
0.492,-0.20924990181047365,36
0.493,-0.21291332151063019,36
0.494,-0.21649078477062506,36
0.495,-0.21998364908149887,36
0.496,-0.22339327743483245,36
0.497,-0.22672105093473804,36
0.498,-0.22996837894247213,36
0.499,-0.23313670684350501,36
0.5,-0.23622752156148755,36
0.501,-0.23924235497166718,36
0.502,-0.24407775508819873,36
0.503,-0.24790016390798947,36
0.504,-0.25100205511947177,36
0.505,-0.25362132681829286,36
0.506,-0.25594557117608407,36
0.507,-0.25811663576581989,36
0.508,-0.26023536468877007,36
0.509,-0.26236641762421775,36
0.51,-0.26454307551800182,36
0.511,-0.26677195257980818,36
0.512,-0.26903754533654212,36
0.513,-0.27130656048019058,36
0.514,-0.27353197396974027,36
0.515,-0.27565678414076356,36
0.516,-0.27761743131210753,36
0.517,-0.27934686545092335,36
0.518,-0.28077725178343244,36
0.519,-0.28184231176052715,36
0.52,-0.28247930346683708,36
0.521,-0.28263065138087173,36
0.522,-0.28224524035123016,36
0.523,-0.2812793927639356,36
0.524,-0.27969755116624917,36
0.525,-0.27747269112160561,36
0.526,-0.27458649084655767,36
0.527,-0.27102928527905606,36
0.528,-0.2667998327087055,36
0.529,-0.26190492202823512,36
0.53,-0.25635884810785381,36
0.531,-0.2501827818177203,36
0.532,-0.24340405989515804,36
0.533,-0.23605541823756915,36
0.534,-0.22817419036168629,36
0.535,-0.21980149076390157,36
0.536,-0.21098140079990815,36
0.537,-0.20176017252524545,36
0.538,-0.19218546374709986,36
0.539,-0.18230561537231529,36
0.54,-0.17216898003221381,36
0.541,-0.16182330895147573,36
0.542,-0.15131520213080615,36
0.543,-0.14068962515125727,36
0.544,-0.12998949429698403,36
0.545,-0.119255330243545,36
0.546,-0.1085249792771545,36
0.547,-0.097833399899360324,36
0.548,-0.087212511730910575,36
0.549,-0.076691102854600568,36
0.55,-0.06629479112362871,27
0.551,-0.056046034501293612,27
0.552,-0.045964185179841507,27
0.553,-0.036065582039690625,27
0.554,-0.02636367594287773,27
0.555,-0.016869182393498355,27
0.556,-0.0075902562298913734,27
0.557,0.0014673167749834765,27
0.558,0.010299916250274342,27
0.559,0.018905876014359342,27
0.56,0.027285269452103307,27
0.561,0.035439695218434805,27
0.562,0.043372066581554007,27
0.563,0.051086407286658725,27
0.564,0.058587656387891041,27
0.565,0.0658814840700261,27
0.566,0.072974120068968945,27
0.567,0.079872195907083998,27
0.568,0.086582601790429842,27
0.569,0.093112358673803908,27
0.57,0.099468505688889264,27
0.571,0.10565800285264099,27
0.572,0.11168764872845914,27
0.573,0.11756401250204841,27
0.574,0.1232933797569019,27
0.575,0.12888171109023769,27
0.576,0.13433461259765406,27
0.577,0.13965731717203911,27
0.578,0.14485467550733477,27
0.579,0.14993115566832646,27
0.58,0.15489085008123682,27
0.581,0.15973748881396152,27
0.582,0.16447445804665478,27
0.583,0.169104822680406,27
0.584,0.17363135209134789,27
0.585,0.17805654810718227,27
0.586,0.18238267436040564,27
0.587,0.18661178625521249,27
0.588,0.1907457608710704,27
0.589,0.194786326213402,27
0.59,0.19873508930897926,27
0.591,0.20259356272904461,27
0.592,0.20636318920553365,27
0.593,0.21004536408400912,27
0.594,0.21364145543014018,27
0.595,0.21715282167409294,27
0.596,0.22058082673852386,27
0.597,0.22392685265065432,27
0.598,0.22719230968696635,27
0.599,0.23037864414035328,27
0.6,0.23348734383416714,27
0.601,0.23651994153571421,27
0.602,0.241372986143644,27
0.603,0.24521292053187232,27
0.604,0.24833221925843035,27
0.605,0.25096878128122985,27
0.606,0.25331019962690726,27
0.607,0.25549832271625672,27
0.608,0.2576339954912551,27
0.609,0.2597818784648519,27
0.61,0.26197525340958311,27
0.611,0.26422073535493251,27
0.612,0.26650282164077355,27
0.613,0.26878821976530071,27
0.614,0.27102990648701458,27
0.615,0.27317088093437536,27
0.616,0.27514758421255792,27
0.617,0.2768929670685466,27
0.618,0.2783391955019659,27
0.619,0.27941999173074494,27
0.62,0.28007261460024707,27
0.621,0.28023948934347476,27
0.622,0.27986950155734069,27
0.623,0.27891897437006324,27
0.624,0.2773523510650408,27
0.625,0.27514260793584627,27
0.626,0.27227142392323056,27
0.627,0.26872913468346032,27
0.628,0.26451449921863185,27
0.629,0.25963430712819746,27
0.63,0.25410285398337756,27
0.631,0.24794131134968542,27
0.632,0.24117701665419738,27
0.633,0.23384270647852023,27
0.634,0.22597571501809727,27
0.635,0.2176171574425893,27
0.636,0.2088111157755691,27
0.637,0.19960384273511775,27
0.638,0.19004299678567643,27
0.639,0.18017691948610787,27
0.64,0.17005396411456611,27
0.641,0.15972188253742631,27
0.642,0.14922727539200009,27
0.643,0.13861510889090545,27
0.644,0.1279282999448707,27
0.645,0.11720736985108185,27
